BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	HMDB_ID
glycerophosphoethanolamine	Lipid	Glycerolipid metabolism	HMDB00114
glycerophosphorylcholine (GPC)	Lipid	Glycerolipid metabolism	HMDB00086
glycine	Amino acid	Glycine; serine and threonine metabolism	HMDB00123
glycochenodeoxycholate	Lipid	Bile acid metabolism	HMDB00637
glycocholate	Lipid	Bile acid metabolism	HMDB00138
glycodeoxycholate	Lipid	Bile acid metabolism	HMDB00631
glycolate (hydroxyacetate)	Xenobiotics	Chemical	HMDB00115
glycylisoleucine	Peptide	Dipeptide	
glycylleucine	Peptide	Dipeptide	HMDB00759
glycylproline	Peptide	Dipeptide	HMDB00721
"gulono-1,4-lactone"	Cofactors and vitamins	Ascorbate and aldarate metabolism	HMDB03466
heme*	Cofactors and vitamins	Hemoglobin and porphyrin	
heptaethylene glycol	Xenobiotics	Chemical	
heptanoate (7:0)	Lipid	Medium chain fatty acid	HMDB00666
hexaethylene glycol	Xenobiotics	Chemical	
hexanoylcarnitine	Lipid	Carnitine metabolism	HMDB00705
hippurate	Xenobiotics	Benzoate metabolism	HMDB00714
histidine	Amino acid	Histidine metabolism	HMDB00177
hypotaurine	Amino acid	Cysteine; methionine; SAM; taurine metabolism	HMDB00965
hypoxanthine	Nucleotide	Purine metabolism; (hypo)xanthine/inosine containing	HMDB00157
inosine	Nucleotide	Purine metabolism; (hypo)xanthine/inosine containing	
inositol 1-phosphate (I1P)	Lipid	Inositol metabolism	HMDB00213
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate"	Carbohydrate	Glycolysis; gluconeogenesis; pyruvate metabolism	
isobutyrylcarnitine	Amino acid	Valine; leucine and isoleucine metabolism	
isoleucine	Amino acid	Valine; leucine and isoleucine metabolism	HMDB00172
kynurenine	Amino acid	Tryptophan metabolism	HMDB00684
lactate	Carbohydrate	Glycolysis; gluconeogenesis; pyruvate metabolism	HMDB00190
laurate (12:0)	Lipid	Medium chain fatty acid	HMDB00638
leucine	Amino acid	Valine; leucine and isoleucine metabolism	HMDB00687
linoleamide (18:2n6)	Lipid	Fatty acid; amide	
linoleate (18:2n6)	Lipid	Essential fatty acid	HMDB00673
linolenate [alpha or gamma; (18:3n3 or 6)]	Lipid	Essential fatty acid	HMDB01388
lysine	Amino acid	Lysine metabolism	HMDB00182
malate	Energy	Krebs cycle	HMDB00156
maltose	Carbohydrate	Fructose; mannose; galactose; starch; and sucrose metabolism	HMDB00163
maltotriose	Carbohydrate	Fructose; mannose; galactose; starch; and sucrose metabolism	HMDB01262
mannitol	Carbohydrate	Fructose; mannose; galactose; starch; and sucrose metabolism	HMDB00765
mannose	Carbohydrate	Fructose; mannose; galactose; starch; and sucrose metabolism	HMDB00169
margarate (17:0)	Lipid	Long chain fatty acid	HMDB02259
methionine	Amino acid	Cysteine; methionine; SAM; taurine metabolism	HMDB00696
methyl palmitate (15 or 2)	Lipid	Fatty acid; branched	
methyl-alpha-glucopyranoside	Xenobiotics	Chemical	
methylphosphate	Nucleotide	Purine and pyrimidine metabolism	
metoprolol acid metabolite*	Xenobiotics	Drug	
myo-inositol	Lipid	Inositol metabolism	HMDB00211
myristate (14:0)	Lipid	Long chain fatty acid	HMDB00806
myristoleate (14:1n5)	Lipid	Long chain fatty acid	HMDB02000
N-acetylaspartate (NAA)	Amino acid	Alanine and aspartate metabolism	HMDB00812
N-acetylglucosamine	Carbohydrate	Aminosugars metabolism	HMDB00215
N-acetylmannosamine	Carbohydrate	Aminosugars metabolism	HMDB00835
N-acetylneuraminate	Carbohydrate	Aminosugars metabolism	HMDB00230
n-Butyl Oleate	Lipid	Fatty acid; ester	
N-carbamoylaspartate	Amino acid	Alanine and aspartate metabolism	HMDB00828
N6-acetyllysine	Amino acid	Lysine metabolism	HMDB00206
nicotinamide	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	HMDB01406
nicotinamide adenine dinucleotide (NAD+)	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	HMDB00902
nicotinamide adenine dinucleotide reduced (NADH)	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	HMDB01487
nicotinamide riboside*	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	
nicotinate	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	HMDB01488
octaethylene glycol	Xenobiotics	Chemical	
octanoylcarnitine	Lipid	Carnitine metabolism	
oleate (18:1n9)	Lipid	Long chain fatty acid	HMDB00207
oleoylcarnitine	Lipid	Carnitine metabolism	HMDB05065
ophthalmate	Amino acid	Glutathione metabolism	HMDB05765
ornithine	Amino acid	Urea cycle; arginine-; proline-; metabolism	HMDB03374
p-acetamidophenylglucuronide	Xenobiotics	Drug	HMDB10316
p-cresol sulfate	Amino acid	Phenylalanine & tyrosine metabolism	
palmitate (16:0)	Lipid	Long chain fatty acid	HMDB00220
palmitoleate (16:1n7)	Lipid	Long chain fatty acid	HMDB03229
palmitoyl sphingomyelin	Lipid	Sphingolipid	
palmitoylcarnitine	Lipid	Carnitine metabolism	
pantothenate	Cofactors and vitamins	Pantothenate and CoA metabolism	HMDB00210
pelargonate (9:0)	Lipid	Medium chain fatty acid	HMDB00847
pentadecanoate (15:0)	Lipid	Long chain fatty acid	HMDB00826
pentaethylene glycol	Xenobiotics	Chemical	
phenylacetylglutamine	Amino acid	Phenylalanine & tyrosine metabolism	HMDB06344
phenylacetylglycine	Amino acid	Phenylalanine & tyrosine metabolism	HMDB00821
phenylalanine	Amino acid	Phenylalanine & tyrosine metabolism	HMDB00159
phosphate	Energy	Oxidative phosphorylation	HMDB01429
phosphoethanolamine	Lipid	Glycerolipid metabolism	HMDB00224
phosphoglycerate (2 or 3)	Carbohydrate	Glycolysis; gluconeogenesis; pyruvate metabolism	
pipecolate	Amino acid	Lysine metabolism	HMDB00070
pro-hydroxy-pro	Peptide	Dipeptide	HMDB06695
proline	Amino acid	Urea cycle; arginine-; proline-; metabolism	HMDB00162
propionylcarnitine	Lipid	Fatty acid metabolism (also BCAA metabolism)	HMDB00824
pseudouridine	Nucleotide	Pyrimidine metabolism; uracil containing	HMDB00767
pyroglutamine*	Amino acid	Glutamate metabolism	
pyrophosphate (PPi)	Energy	Oxidative phosphorylation	HMDB00250
pyruvate	Carbohydrate	Glycolysis; gluconeogenesis; pyruvate metabolism	HMDB00243
ribitol	Carbohydrate	Nucleotide sugars; pentose metabolism	HMDB00508
ribose	Carbohydrate	Nucleotide sugars; pentose metabolism	HMDB00283
S-adenosylmethionine (SAM)	Amino acid	Cysteine; methionine; SAM; taurine metabolism	
S-methylcysteine	Amino acid	Cysteine; methionine; SAM; taurine metabolism	HMDB02108
sarcosine (N-Methylglycine)	Amino acid	Glycine; serine and threonine metabolism	HMDB00271
scyllo-inositol	Lipid	Inositol metabolism	HMDB06088
serine	Amino acid	Glycine; serine and threonine metabolism	HMDB03406
sorbitol	Carbohydrate	Fructose; mannose; galactose; starch; and sucrose metabolism	HMDB00247
sphingosine	Lipid	Sphingolipid	HMDB00252
stachydrine	Xenobiotics	Food component/Plant	HMDB04827
stearate (18:0)	Lipid	Long chain fatty acid	HMDB00827
stearoylcarnitine	Lipid	Carnitine metabolism	HMDB00848
succinate	Energy	Krebs cycle	HMDB00254
tagatose	Carbohydrate	Fructose; mannose; galactose; starch; and sucrose metabolism	HMDB03418
taurine	Amino acid	Cysteine; methionine; SAM; taurine metabolism	HMDB00251
taurocholate	Lipid	Bile acid metabolism	HMDB00036
taurodeoxycholate	Lipid	Bile acid metabolism	HMDB00896
tetraethylene glycol	Xenobiotics	Chemical	
threonate	Cofactors and vitamins	Ascorbate and aldarate metabolism	HMDB00943
threonine	Amino acid	Glycine; serine and threonine metabolism	HMDB00167
tigloylglycine	Amino acid	Valine; leucine and isoleucine metabolism	HMDB00959
trans-4-hydroxyproline	Amino acid	Urea cycle; arginine-; proline-; metabolism	HMDB00725
trehalose	Carbohydrate	Fructose; mannose; galactose; starch; and sucrose metabolism	HMDB00975
triethyleneglycol	Xenobiotics	Chemical	
trizma acetate	Xenobiotics	Chemical	
tryptophan	Amino acid	Tryptophan metabolism	HMDB00929
tyrosine	Amino acid	Phenylalanine & tyrosine metabolism	HMDB00158
uracil	Nucleotide	Pyrimidine metabolism; uracil containing	HMDB00300
urate	Nucleotide	Purine metabolism; urate metabolism	HMDB00289
urea	Amino acid	Urea cycle; arginine-; proline-; metabolism	HMDB00294
uridine	Nucleotide	Pyrimidine metabolism; uracil containing	HMDB00296
valerylglycine	Lipid	Fatty acid metabolism	HMDB00927
valine	Amino acid	Valine; leucine and isoleucine metabolism	HMDB00883
xanthine	Nucleotide	Purine metabolism; (hypo)xanthine/inosine containing	HMDB00292
xanthosine	Nucleotide	Purine metabolism; (hypo)xanthine/inosine containing	HMDB00299
xylitol	Carbohydrate	Nucleotide sugars; pentose metabolism	HMDB00568
