MODIFIER_PATH	MODIFIER_CD	NAME_CHAR	VALTYPE_CD	STD_UNITS	VISIT_IND
\Events\Medical History\Diagnosis\Asthma\	ICD9:C0004096	Asthma	T		N
\Events\Medical History\Diagnosis\Chronic Obstructive Pulmonary Disorder (COPD)\	ICD9:C0178278	Chronic Obstructive Pulmonary Disorder (COPD)	T		N
\Events\Adverse Events\Cardiac conduction disorders\	MDR:10000032	Cardiac conduction disorders	T		N
\Events\Adverse Events\Gastrointestinal signs and symptoms NEC\Abdominal discomfort\	MDR:10000059	Abdominal discomfort	T		N
\Events\Adverse Events\Flatulence, bloating and distension\Abdominal distension\	MDR:10000060	Abdominal distension	T		N
\Events\Adverse Events\Abdominal findings abnormal\	MDR:10000063	Abdominal findings abnormal	T		N
\Events\Adverse Events\Abdominal findings abnormal\Abdominal mass\	MDR:10000077	Abdominal mass	T		N
\Events\Adverse Events\Gastrointestinal and abdominal pains (excl oral and throat)\Abdominal pain\	MDR:10000081	Abdominal pain	T		N
\Events\Adverse Events\Gastrointestinal and abdominal pains (excl oral and throat)\Abdominal pain lower\	MDR:10000084	Abdominal pain lower	T		N
\Events\Adverse Events\Gastrointestinal and abdominal pains (excl oral and throat)\Abdominal pain upper\	MDR:10000087	Abdominal pain upper	T		N
\Events\Adverse Events\Gastrointestinal and abdominal pains (excl oral and throat)\Abdominal rigidity\	MDR:10000090	Abdominal rigidity	T		N
\Events\Adverse Events\Gastrointestinal and abdominal pains (excl oral and throat)\Abdominal tenderness\	MDR:10000097	Abdominal tenderness	T		N
\Events\Adverse Events\Gastrointestinal infections, site unspecified\Abdominal wall abscess\	MDR:10000099	Abdominal wall abscess	T		N
\Events\Adverse Events\Abnormal behaviour NEC\	MDR:10000117	Abnormal behaviour NEC	T		N
\Events\Adverse Events\Parasomnias\Abnormal dreams\	MDR:10000125	Abnormal dreams	T		N
\Events\Adverse Events\Faecal abnormalities NEC\Abnormal faeces\	MDR:10000133	Abnormal faeces	T		N
\Events\Adverse Events\Foetal conditions due to maternal conditions\Abnormal labour affecting foetus\	MDR:10000154	Abnormal labour affecting foetus	T		N
\Events\Adverse Events\General nutritional disorders NEC\Abnormal loss of weight\	MDR:10000159	Abnormal loss of weight	T		N
\Events\Adverse Events\Abnormal reflexes\	MDR:10000171	Abnormal reflexes	T		N
\Events\Adverse Events\Ocular sensation disorders\Abnormal sensation in eye\	MDR:10000173	Abnormal sensation in eye	T		N
\Events\Adverse Events\General nutritional disorders NEC\Abnormal weight gain\	MDR:10000188	Abnormal weight gain	T		N
\Events\Adverse Events\Foetal position and presentation abnormalities\	MDR:10000190	Foetal position and presentation abnormalities	T		N
\Events\Adverse Events\Labour onset and length abnormalities\	MDR:10000192	Labour onset and length abnormalities	T		N
\Events\Adverse Events\Urinary abnormalities\	MDR:10000196	Urinary abnormalities	T		N
\Events\Adverse Events\Pregnancy related circumstances\Aborted pregnancy\	MDR:10000209	Aborted pregnancy	T		N
\Events\Adverse Events\Abortions not specified as induced or spontaneous\Abortion\	MDR:10000210	Abortion	T		N
\Events\Adverse Events\Abortions not specified as induced or spontaneous\Abortion incomplete\	MDR:10000217	Abortion incomplete	T		N
\Events\Adverse Events\Induced abortions\Abortion induced\	MDR:10000220	Abortion induced	T		N
\Events\Adverse Events\Induced abortion complications\Abortion induced complete complicated\	MDR:10000221	Abortion induced complete complicated	T		N
\Events\Adverse Events\Female reproductive tract infections\Abortion infected\	MDR:10000228	Abortion infected	T		N
\Events\Adverse Events\Abortions not specified as induced or spontaneous\Abortion missed\	MDR:10000230	Abortion missed	T		N
\Events\Adverse Events\Abortions not specified as induced or spontaneous\	MDR:10000232	Abortions not specified as induced or spontaneous	T		N
\Events\Adverse Events\Abortion related conditions and complications\	MDR:10000233	Abortion related conditions and complications	T		N
\Events\Adverse Events\Abortions spontaneous\Abortion spontaneous\	MDR:10000234	Abortion spontaneous	T		N
\Events\Adverse Events\Abortions spontaneous\	MDR:10000235	Abortions spontaneous	T		N
\Events\Adverse Events\Abortions spontaneous\Abortion threatened\	MDR:10000242	Abortion threatened	T		N
\Events\Adverse Events\Infections NEC\Abscess\	MDR:10000269	Abscess	T		N
\Events\Adverse Events\Therapeutic procedures NEC\Abscess drainage\	MDR:10000279	Abscess drainage	T		N
\Events\Adverse Events\Salivary gland infections and inflammations\Abscess of salivary gland\	MDR:10000305	Abscess of salivary gland	T		N
\Events\Adverse Events\Absence seizures\	MDR:10000332	Absence seizures	T		N
\Events\Adverse Events\Accelerated and malignant hypertension\	MDR:10000356	Accelerated and malignant hypertension	T		N
\Events\Adverse Events\Non-site specific injuries NEC\Accident\	MDR:10000369	Accident	T		N
\Events\Adverse Events\Medication errors due to accidental exposures\Accidental exposure\	MDR:10000378	Accidental exposure	T		N
\Events\Adverse Events\Overdoses\Accidental overdose\	MDR:10000381	Accidental overdose	T		N
\Events\Adverse Events\Refractive and accommodative disorders\Accommodation disorder\	MDR:10000389	Accommodation disorder	T		N
\Events\Adverse Events\Blood gas and acid base analyses\Acid base balance abnormal\	MDR:10000457	Acid base balance abnormal	T		N
\Events\Adverse Events\Mixed acid-base disorders\Acidosis\	MDR:10000486	Acidosis	T		N
\Events\Adverse Events\Metabolic acidoses (excl diabetic acidoses)\Acidosis hyperchloraemic\	MDR:10000489	Acidosis hyperchloraemic	T		N
\Events\Adverse Events\Acnes\Acne\	MDR:10000496	Acne	T		N
\Events\Adverse Events\Acnes\	MDR:10000497	Acnes	T		N
\Events\Adverse Events\Acnes\Acne cystic\	MDR:10000503	Acne cystic	T		N
\Events\Adverse Events\Auditory function diagnostic procedures\Acoustic stimulation tests\	MDR:10000525	Acoustic stimulation tests	T		N
\Events\Adverse Events\Auditory function diagnostic procedures\Acoustic stimulation tests abnormal\	MDR:10000526	Acoustic stimulation tests abnormal	T		N
\Events\Adverse Events\Auditory function diagnostic procedures\Acoustic stimulation tests normal\	MDR:10000527	Acoustic stimulation tests normal	T		N
\Events\Adverse Events\Acquired immunodeficiency syndromes\Acquired immunodeficiency syndrome\	MDR:10000565	Acquired immunodeficiency syndrome	T		N
\Events\Adverse Events\Skin neoplasms benign\Acrochordon\	MDR:10000591	Acrochordon	T		N
\Events\Adverse Events\Coagulation and bleeding analyses\Activated partial thromboplastin time\	MDR:10000630	Activated partial thromboplastin time	T		N
\Events\Adverse Events\Coagulation and bleeding analyses\Activated partial thromboplastin time normal\	MDR:10000635	Activated partial thromboplastin time normal	T		N
\Events\Adverse Events\Coagulation and bleeding analyses\Activated partial thromboplastin time shortened\	MDR:10000637	Activated partial thromboplastin time shortened	T		N
\Events\Adverse Events\Autoimmune disorders NEC\Acute disseminated encephalomyelitis\	MDR:10000709	Acute disseminated encephalomyelitis	T		N
\Events\Adverse Events\Hepatic failure and associated disorders\Acute hepatic failure\	MDR:10000804	Acute hepatic failure	T		N
\Events\Adverse Events\Leukaemias acute myeloid\Acute myeloid leukaemia\	MDR:10000880	Acute myeloid leukaemia	T		N
\Events\Adverse Events\Coronary necrosis and vascular insufficiency\Acute myocardial infarction\	MDR:10000891	Acute myocardial infarction	T		N
\Events\Adverse Events\Acute polyneuropathies\	MDR:10001014	Acute polyneuropathies	T		N
\Events\Adverse Events\Renal failure and impairment\Acute prerenal failure\	MDR:10001017	Acute prerenal failure	T		N
\Events\Adverse Events\Leukaemias acute myeloid\Acute promyelocytic leukaemia\	MDR:10001019	Acute promyelocytic leukaemia	T		N
\Events\Adverse Events\Pulmonary oedemas\Acute respiratory distress syndrome\	MDR:10001052	Acute respiratory distress syndrome	T		N
\Events\Adverse Events\Respiratory failures (excl neonatal)\Acute respiratory failure\	MDR:10001053	Acute respiratory failure	T		N
\Events\Adverse Events\Upper respiratory tract infections\Acute sinusitis\	MDR:10001076	Acute sinusitis	T		N
\Events\Adverse Events\Stress disorders\Acute stress disorder\	MDR:10001084	Acute stress disorder	T		N
\Events\Adverse Events\Upper respiratory tract infections\Acute tonsillitis\	MDR:10001093	Acute tonsillitis	T		N
\Events\Adverse Events\Metabolic disorders NEC\Addison's disease\	MDR:10001130	Addison's disease	T		N
\Events\Adverse Events\Cervix neoplasms\Adenocarcinoma of the cervix\	MDR:10001197	Adenocarcinoma of the cervix	T		N
\Events\Adverse Events\Pharyngeal disorders (excl infections and neoplasms)\Adenoidal hypertrophy\	MDR:10001229	Adenoidal hypertrophy	T		N
\Events\Adverse Events\Neoplasms benign site unspecified NEC\Adenoma benign\	MDR:10001233	Adenoma benign	T		N
\Events\Adverse Events\Adjustment disorders\	MDR:10001301	Adjustment disorders	T		N
\Events\Adverse Events\Administration site reactions NEC\Administration site reaction\	MDR:10001315	Administration site reaction	T		N
\Events\Adverse Events\Adrenal cortex tests\	MDR:10001339	Adrenal cortex tests	T		N
\Events\Adverse Events\Adverse effect absent\	MDR:10001424	Adverse effect absent	T		N
\Events\Adverse Events\Affect alterations NEC\	MDR:10001438	Affect alterations NEC	T		N
\Events\Adverse Events\Mood disorders NEC\Affective disorder\	MDR:10001443	Affective disorder	T		N
\Events\Adverse Events\Taste disorders\Ageusia\	MDR:10001480	Ageusia	T		N
\Events\Adverse Events\Behaviour and socialisation disturbances\Aggression\	MDR:10001488	Aggression	T		N
\Events\Adverse Events\Neurological signs and symptoms NEC\Agitation\	MDR:10001497	Agitation	T		N
\Events\Adverse Events\Liver function analyses\Alanine aminotransferase increased\	MDR:10001551	Alanine aminotransferase increased	T		N
\Events\Adverse Events\Liver function analyses\Alanine aminotransferase normal\	MDR:10001552	Alanine aminotransferase normal	T		N
\Events\Adverse Events\Urinalysis NEC\Albumin urine present\	MDR:10001582	Albumin urine present	T		N
\Events\Adverse Events\Substance-related disorders\Alcohol abuse\	MDR:10001584	Alcohol abuse	T		N
\Events\Adverse Events\Food malabsorption and intolerance syndromes (excl sugar intolerance)\Alcohol intolerance\	MDR:10001598	Alcohol intolerance	T		N
\Events\Adverse Events\Poisoning and toxicity\Alcohol poisoning\	MDR:10001605	Alcohol poisoning	T		N
\Events\Adverse Events\Substance-related disorders\Alcohol problem\	MDR:10001606	Alcohol problem	T		N
\Events\Adverse Events\Substance-related disorders\Alcoholism\	MDR:10001639	Alcoholism	T		N
\Events\Adverse Events\Allergies to foods, food additives, drugs and other chemicals\	MDR:10001737	Allergies to foods, food additives, drugs and other chemicals	T		N
\Events\Adverse Events\Allergic conditions NEC\Allergy to animal\	MDR:10001742	Allergy to animal	T		N
\Events\Adverse Events\Alopecias\Alopecia\	MDR:10001760	Alopecia	T		N
\Events\Adverse Events\Alopecias\Alopecia areata\	MDR:10001761	Alopecia areata	T		N
\Events\Adverse Events\Alopecias\Alopecia effluvium\	MDR:10001762	Alopecia effluvium	T		N
\Events\Adverse Events\Alopecias\	MDR:10001769	Alopecias	T		N
\Events\Adverse Events\Protein analyses NEC\Alpha 1 foetoprotein\	MDR:10001772	Alpha 1 foetoprotein	T		N
\Events\Adverse Events\Protein analyses NEC\Alpha 1 foetoprotein abnormal\	MDR:10001773	Alpha 1 foetoprotein abnormal	T		N
\Events\Adverse Events\Protein analyses NEC\Alpha 1 foetoprotein normal\	MDR:10001782	Alpha 1 foetoprotein normal	T		N
\Events\Adverse Events\Mental disorders NEC\Altered state of consciousness\	MDR:10001854	Altered state of consciousness	T		N
\Events\Adverse Events\Amblyopic vision impairment\Amblyopia\	MDR:10001906	Amblyopia	T		N
\Events\Adverse Events\Amblyopic vision impairment\	MDR:10001910	Amblyopic vision impairment	T		N
\Events\Adverse Events\Menstruation with decreased bleeding\Amenorrhoea\	MDR:10001928	Amenorrhoea	T		N
\Events\Adverse Events\Trypanosomal infections\American trypanosomiasis\	MDR:10001935	American trypanosomiasis	T		N
\Events\Adverse Events\Liver function analyses\Ammonia increased\	MDR:10001946	Ammonia increased	T		N
\Events\Adverse Events\Liver function analyses\Ammonia normal\	MDR:10001947	Ammonia normal	T		N
\Events\Adverse Events\Memory loss (excl dementia)\Amnesia\	MDR:10001949	Amnesia	T		N
\Events\Adverse Events\Amniotic fluid and cavity disorders of pregnancy NEC\	MDR:10001970	Amniotic fluid and cavity disorders of pregnancy NEC	T		N
\Events\Adverse Events\Intestinal infections\Amoebic colitis\	MDR:10001985	Amoebic colitis	T		N
\Events\Adverse Events\Intestinal infections\Amoebic dysentery\	MDR:10001986	Amoebic dysentery	T		N
\Events\Adverse Events\Motor neurone diseases\Amyotrophic lateral sclerosis\	MDR:10002026	Amyotrophic lateral sclerosis	T		N
\Events\Adverse Events\Anaemias NEC\Anaemia\	MDR:10002034	Anaemia	T		N
\Events\Adverse Events\Blood autoimmune disorders\Anaemia haemolytic autoimmune\	MDR:10002046	Anaemia haemolytic autoimmune	T		N
\Events\Adverse Events\Anaemias haemolytic NEC\	MDR:10002055	Anaemias haemolytic NEC	T		N
\Events\Adverse Events\Anaemias NEC\	MDR:10002067	Anaemias NEC	T		N
\Events\Adverse Events\Anaesthesia and allied procedures\	MDR:10002092	Anaesthesia and allied procedures	T		N
\Events\Adverse Events\Anal and rectal disorders NEC\	MDR:10002113	Anal and rectal disorders NEC	T		N
\Events\Adverse Events\Anal and rectal pains\	MDR:10002115	Anal and rectal pains	T		N
\Events\Adverse Events\Anal and rectal signs and symptoms\	MDR:10002118	Anal and rectal signs and symptoms	T		N
\Events\Adverse Events\Anal and rectal ulcers and perforation\	MDR:10002119	Anal and rectal ulcers and perforation	T		N
\Events\Adverse Events\Anal and rectal disorders NEC\Anal fissure\	MDR:10002153	Anal fissure	T		N
\Events\Adverse Events\Gastrointestinal fistulae\Anal fistula\	MDR:10002156	Anal fistula	T		N
\Events\Adverse Events\Lower gastrointestinal neoplasms benign\Anal polyp\	MDR:10002168	Anal polyp	T		N
\Events\Adverse Events\Anal and rectal ulcers and perforation\Anal ulcer\	MDR:10002180	Anal ulcer	T		N
\Events\Adverse Events\Vascular hypotensive disorders\Anaphylactic reaction\	MDR:10002198	Anaphylactic reaction	T		N
\Events\Adverse Events\Circulatory collapse and shock\Anaphylactic shock\	MDR:10002199	Anaphylactic shock	T		N
\Events\Adverse Events\Emotional and mood disturbances NEC\Anger\	MDR:10002368	Anger	T		N
\Events\Adverse Events\Coronary necrosis and vascular insufficiency\Angina pectoris\	MDR:10002383	Angina pectoris	T		N
\Events\Adverse Events\Coronary necrosis and vascular insufficiency\Angina unstable\	MDR:10002388	Angina unstable	T		N
\Events\Adverse Events\Angioedemas\Angioedema\	MDR:10002424	Angioedema	T		N
\Events\Adverse Events\Angioedemas\	MDR:10002425	Angioedemas	T		N
\Events\Adverse Events\Respiratory tract and thoracic imaging procedures\Angiogram pulmonary abnormal\	MDR:10002441	Angiogram pulmonary abnormal	T		N
\Events\Adverse Events\Non-site specific injuries NEC\Animal bite\	MDR:10002515	Animal bite	T		N
\Events\Adverse Events\Blood gas and acid base analyses\Anion gap decreased\	MDR:10002526	Anion gap decreased	T		N
\Events\Adverse Events\Blood gas and acid base analyses\Anion gap increased\	MDR:10002528	Anion gap increased	T		N
\Events\Adverse Events\Blood gas and acid base analyses\Anion gap normal\	MDR:10002530	Anion gap normal	T		N
\Events\Adverse Events\Lower limb fractures and dislocations\Ankle fracture\	MDR:10002544	Ankle fracture	T		N
\Events\Adverse Events\Spondyloarthropathies\Ankylosing spondylitis\	MDR:10002556	Ankylosing spondylitis	T		N
\Events\Adverse Events\Anorectal therapeutic procedures\	MDR:10002580	Anorectal therapeutic procedures	T		N
\Events\Adverse Events\Anal and rectal disorders NEC\Anorectal disorder\	MDR:10002644	Anorectal disorder	T		N
\Events\Adverse Events\Appetite disorders\Anorexia\	MDR:10002646	Anorexia	T		N
\Events\Adverse Events\Eating disorders NEC\Anorexia nervosa\	MDR:10002649	Anorexia nervosa	T		N
\Events\Adverse Events\Anorexia nervosa and bulimia\	MDR:10002650	Anorexia nervosa and bulimia	T		N
\Events\Adverse Events\Olfactory nerve disorders\Anosmia\	MDR:10002653	Anosmia	T		N
\Events\Adverse Events\Reproductive system haemorrhages\Antepartum haemorrhage\	MDR:10002667	Antepartum haemorrhage	T		N
\Events\Adverse Events\Anterior pituitary hyperfunction\	MDR:10002700	Anterior pituitary hyperfunction	T		N
\Events\Adverse Events\Anterior pituitary hypofunction\	MDR:10002701	Anterior pituitary hypofunction	T		N
\Events\Adverse Events\Autoimmunity analyses\Antimitochondrial antibody positive\	MDR:10002799	Antimitochondrial antibody positive	T		N
\Events\Adverse Events\Autoimmunity analyses\Antinuclear antibody\	MDR:10002807	Antinuclear antibody	T		N
\Events\Adverse Events\Autoimmunity analyses\Antinuclear antibody negative\	MDR:10002809	Antinuclear antibody negative	T		N
\Events\Adverse Events\Renal failure and impairment\Anuria\	MDR:10002847	Anuria	T		N
\Events\Adverse Events\Anxiety symptoms\Anxiety\	MDR:10002855	Anxiety	T		N
\Events\Adverse Events\Anxiety disorders and symptoms\	MDR:10002861	Anxiety disorders and symptoms	T		N
\Events\Adverse Events\Anxiety symptoms\	MDR:10002869	Anxiety symptoms	T		N
\Events\Adverse Events\Aortic valvular disorders\	MDR:10002911	Aortic valvular disorders	T		N
\Events\Adverse Events\Aortic valvular disorders\Aortic valve incompetence\	MDR:10002915	Aortic valve incompetence	T		N
\Events\Adverse Events\Disturbances in consciousness NEC\Apallic syndrome\	MDR:10002941	Apallic syndrome	T		N
\Events\Adverse Events\Mood disorders NEC\Apathy\	MDR:10002942	Apathy	T		N
\Events\Adverse Events\Specific cognitive ability disturbances\Aphasia\	MDR:10002948	Aphasia	T		N
\Events\Adverse Events\Upper respiratory tract signs and symptoms\Aphonia\	MDR:10002953	Aphonia	T		N
\Events\Adverse Events\Stomatitis and ulceration\Aphthous stomatitis\	MDR:10002958	Aphthous stomatitis	T		N
\Events\Adverse Events\Immune and associated conditions NEC\Aplasia pure red cell\	MDR:10002965	Aplasia pure red cell	T		N
\Events\Adverse Events\Marrow depression and hypoplastic anaemias\Aplastic anaemia\	MDR:10002967	Aplastic anaemia	T		N
\Events\Adverse Events\Breathing abnormalities\Apnoea\	MDR:10002974	Apnoea	T		N
\Events\Adverse Events\Breathing abnormalities\Apnoeic attack\	MDR:10002977	Apnoeic attack	T		N
\Events\Adverse Events\Neurological signs and symptoms NEC\Apnoeic attack\	MDR:10002977	Apnoeic attack	T		N
\Events\Adverse Events\Apocrine and eccrine gland disorders\	MDR:10002982	Apocrine and eccrine gland disorders	T		N
\Events\Adverse Events\Large intestine therapeutic procedures\Appendicectomy\	MDR:10003010	Appendicectomy	T		N
\Events\Adverse Events\Intestinal infections\Appendicitis\	MDR:10003011	Appendicitis	T		N
\Events\Adverse Events\Intestinal ulcers and perforation NEC\Appendicitis perforated\	MDR:10003012	Appendicitis perforated	T		N
\Events\Adverse Events\Appetite disorders\	MDR:10003022	Appetite disorders	T		N
\Events\Adverse Events\Application and instillation site reactions\Application site pain\	MDR:10003051	Application site pain	T		N
\Events\Adverse Events\Rashes, eruptions and exanthems NEC\Application site rash\	MDR:10003054	Application site rash	T		N
\Events\Adverse Events\Application and instillation site reactions\	MDR:10003057	Application and instillation site reactions	T		N
\Events\Adverse Events\Application and instillation site reactions\Application site warmth\	MDR:10003060	Application site warmth	T		N
\Events\Adverse Events\Specific cognitive ability disturbances\Apraxia\	MDR:10003062	Apraxia	T		N
\Events\Adverse Events\Abnormal reflexes\Areflexia\	MDR:10003084	Areflexia	T		N
\Events\Adverse Events\Failed labour\Arrested labour\	MDR:10003118	Arrested labour	T		N
\Events\Adverse Events\Rate and rhythm disorders NEC\Arrhythmia\	MDR:10003119	Arrhythmia	T		N
\Events\Adverse Events\Arterial and aortic injuries\	MDR:10003141	Arterial and aortic injuries	T		N
\Events\Adverse Events\Arterial and aortic injuries\Arterial injury\	MDR:10003162	Arterial injury	T		N
\Events\Adverse Events\Arterial therapeutic procedures (excl aortic)\	MDR:10003167	Arterial therapeutic procedures (excl aortic)	T		N
\Events\Adverse Events\Cardiac imaging procedures\Arteriogram coronary normal\	MDR:10003202	Arteriogram coronary normal	T		N
\Events\Adverse Events\Non-site specific necrosis and vascular insufficiency NEC\Arteriosclerosis\	MDR:10003210	Arteriosclerosis	T		N
\Events\Adverse Events\Coronary necrosis and vascular insufficiency\Arteriospasm coronary\	MDR:10003225	Arteriospasm coronary	T		N
\Events\Adverse Events\Arterial inflammations\Arteritis\	MDR:10003230	Arteritis	T		N
\Events\Adverse Events\Arterial inflammations\	MDR:10003231	Arterial inflammations	T		N
\Events\Adverse Events\Joint related signs and symptoms\Arthralgia\	MDR:10003239	Arthralgia	T		N
\Events\Adverse Events\Arthropathies NEC\Arthritis\	MDR:10003246	Arthritis	T		N
\Events\Adverse Events\Inflammatory disorders following infection\Arthritis reactive\	MDR:10003267	Arthritis reactive	T		N
\Events\Adverse Events\Musculoskeletal and soft tissue imaging procedures\Arthrogram\	MDR:10003278	Arthrogram	T		N
\Events\Adverse Events\Arthropathies NEC\	MDR:10003284	Arthropathies NEC	T		N
\Events\Adverse Events\Arthropathies NEC\Arthropathy\	MDR:10003285	Arthropathy	T		N
\Events\Adverse Events\Non-site specific injuries NEC\Arthropod bite\	MDR:10003399	Arthropod bite	T		N
\Events\Adverse Events\Non-site specific injuries NEC\Arthropod sting\	MDR:10003402	Arthropod sting	T		N
\Events\Adverse Events\Musculoskeletal and soft tissue imaging procedures\Arthroscopy abnormal\	MDR:10003412	Arthroscopy abnormal	T		N
\Events\Adverse Events\Behaviour and socialisation disturbances\Asocial behaviour\	MDR:10003472	Asocial behaviour	T		N
\Events\Adverse Events\Liver function analyses\Aspartate aminotransferase decreased\	MDR:10003479	Aspartate aminotransferase decreased	T		N
\Events\Adverse Events\Liver function analyses\Aspartate aminotransferase increased\	MDR:10003481	Aspartate aminotransferase increased	T		N
\Events\Adverse Events\Liver function analyses\Aspartate aminotransferase normal\	MDR:10003482	Aspartate aminotransferase normal	T		N
\Events\Adverse Events\Pervasive developmental disorders NEC\Asperger's disorder\	MDR:10003484	Asperger's disorder	T		N
\Events\Adverse Events\Non-site specific injuries NEC\Asphyxia\	MDR:10003497	Asphyxia	T		N
